Distrito,Barrio,Latitude,Longitude
Centro,San Basilio,37.875,-4.78333
Centro,Huerta del Rey - Vallellano,37.8781905,-4.7846561
Centro,Mezquita,37.8794319,-4.7798651
Centro,San Francisco - Ribera,37.8817208,-4.7749052
Centro,Santiago,37.8822163,-4.7694738
Centro,San Pedro,37.8835973,-4.7742094
Centro,El Salvador y la Compañia,37.882052,-4.7806768
Centro,La Trinidad,37.881846,-4.782991
Centro,San Hipólito,37.89155,-4.77275
Centro,San Miguel-Capuchinos,37.8873339,-4.777983
Centro,San Andrés-San Pablo,37.8867323,-4.77347
Centro,La Magdalena,37.89155,-4.77275
Centro,Cerro de la golondrina - Salesianos,37.8875156,-4.7668701
Centro,San Lorenzo,37.8902015,-4.768705
Centro,Santa Marina,37.8899088,-4.774779
Centro,Campo de la Merced - Molinos Alta,37.8912392,-4.7790245
Centro,Ollerías,37.8923395,-4.7737567
Centro,El Carmen,37.89155,-4.77275
Levante,Viñuela - Rescatado,37.891053,-4.7611799
Levante,Fuensantilla - Edisol ,37.8954041,-4.7657503
Levante,Sagunto,37.8945574,-4.7630467
Levante,Levante,37.8881112,-4.762603
Levante,Fátima,37.89155,-4.77275
Levante,Zumbacón - Gabilán,37.8955969,-4.7697922
Noroeste,Huerta de la Reina,37.893403,-4.7855997
Noroeste,Las Margaritas,37.88904021,-4.794465844
Noroeste,Moreras,37.89320695,-4.790041088
Noroeste,Arruzafilla,37.89507067,-4.795592395
Noroeste,Noreña,37.8861235,-4.8008233
Noroeste,Parque Figueroa,37.8909331,-4.804813727
Noroeste,Huerta de Santa Isabel,37.88961023,-4.815285202
Norte - Sierra,Valdeolleros,37.8982271,-4.7754095
Norte - Sierra,Santa Rosa,37.896518,-4.7788993
Norte - Sierra,Asomadilla,37.90264929,-4.778793356
Norte - Sierra,Camping,37.8990244,-4.7848985
Norte - Sierra,Tablero,37.903378,-4.792044621
Norte - Sierra,El Patriarca,37.90884649,-4.802701683
Norte - Sierra,El Brillante,37.91263733,-4.795290894
Norte - Sierra,El Naranjo,37.90941956,-4.779653547
Norte - Sierra,Huerta de San Rafael,37.89684098,-4.782438868
Poniente - Norte,Parque Azahara,37.8804852,-4.8185835
Poniente - Norte,Electromecánicas,37.8830927,-4.8124422
Poniente - Norte,Palmeras,37.88557484,-4.82026875
Poniente - Norte,Miralbaida,37.88568732,-4.813047982
Poniente - Norte,San Rafael de la Albaida,37.8971309,-4.808216
Poniente - Sur,Parque Cruz Conde,37.87113719,-4.792359166
Poniente - Sur,Vista Alegre,37.87685343,-4.789841306
Poniente - Sur,Polígono de Poniente,37.87892642,-4.796878192
Poniente - Sur,Huerta de la Marquesa,37.8829162,-4.7961497
Poniente - Sur,Ciudad Jardín,37.88177164,-4.789553875
Poniente - Sur,Cercadilla - Medina Azahara,37.88592784,-4.792982102
Poniente - Sur,Olivos Borrachos,37.88291093,-4.79908341
Sur,Guadalquivir,37.86017897,-4.781068364
Sur,Sector Sur,37.86588021,-4.777754422
Sur,Fray Albino,37.87234387,-4.772808996
Sur,Campo de la Verdad - Miraflores,37.87776657,-4.772762219
Sureste,El Arenal,37.8714068,-4.766102
Sureste,El Arcángel,37.87865465,-4.766762682
Sureste,Santuario,37.8810694,-4.7628552
Sureste,Fuensanta,37.88257436,-4.758591848
Sureste,Cañero,37.88928443,-4.755140945
Sureste,Fidiana,37.89275203,-4.752283879